timestamp,temp,humidity,air quality(finedust generation),location,,,,
2026. 4. 9 오후 10:37:43,23.7,46.1,208,kitchen,,,,
2026. 4. 9 오후 10:38:48,23.8,46.2,70,kitchen,,,,
2026. 4. 9 오후 10:39:52,23.8,46.2,105,kitchen,,,,
2026. 4. 9 오후 10:40:57,23.8,46.2,368,kitchen,,,,
2026. 4. 9 오후 10:42:01,23.9,46.3,66,kitchen,,,,
2026. 4. 9 오후 10:43:06,23.9,46.3,128,kitchen,,,,
2026. 4. 9 오후 10:45:16,23.9,46.7,560,kitchen,,,,
2026. 4. 9 오후 10:46:21,24,46.6,16,kitchen,,,,
2026. 4. 9 오후 10:47:26,24,46.7,137,kitchen,,,,
2026. 4. 9 오후 10:48:31,24,46.8,316,kitchen,,,,
2026. 4. 9 오후 10:49:36,24,46.8,285,kitchen,,,,
2026. 4. 9 오후 10:50:40,24,46.9,240,kitchen,,,,
2026. 4. 9 오후 10:51:45,24.1,46.9,207,kitchen,,,,
2026. 4. 9 오후 10:52:50,24.1,46.9,0,kitchen,,,,
2026. 4. 9 오후 10:53:55,24.1,47,69,kitchen,,,,
2026. 4. 9 오후 10:55:00,24.1,47,334,kitchen,,,,
2026. 4. 9 오후 10:56:06,24.2,47,444,kitchen,,,,
2026. 4. 9 오후 10:57:12,24.2,47,80,kitchen,,,,
2026. 4. 9 오후 10:59:28,24.2,47.2,245,kitchen,,,,
2026. 4. 9 오후 11:00:35,24.2,47.3,303,kitchen,,,,
2026. 4. 9 오후 11:01:40,24.2,47.4,169,kitchen,,,,
2026. 4. 9 오후 11:02:45,24.3,47.5,489,kitchen,,,,
2026. 4. 9 오후 11:03:49,24.3,47.6,181,kitchen,,,,
2026. 4. 9 오후 11:04:54,24.3,47.6,379,kitchen,,,,
2026. 4. 9 오후 11:05:59,24.3,47.7,238,kitchen,,,,
2026. 4. 9 오후 11:07:08,24.4,47.8,348,kitchen,,,,
2026. 4. 9 오후 11:08:31,24.4,47.9,173,kitchen,,,,
2026. 4. 9 오후 11:09:36,24.4,48.5,240,kitchen,,,,
